AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,DAYS_BIRTH,DAYS_EMPLOYED,CNT_FAM_MEMBERS,NAME_CONTRACT_TYPE,CODE_GENDER,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,debt_to_income,credit_utilisation,income_per_person,annuity_to_credit,age_years,employment_years,delinquency_flag,doc_submission_score,income_band,tenure_band,TARGET
252000.0,485640.0,38263.5,450000.0,-11648,-343,3.0,Cash loans,M,Commercial associate,Higher education,Married,0.1518386831798286,1.079197601783107,63000.0,0.0787896820902683,31.912328767123288,0.9397260273972604,0,1,200-500K,0-2 yrs,0
118350.0,158301.0,15552.0,148500.0,-25105,365243,2.0,Cash loans,M,Pensioner,Higher education,Married,0.1314057337918564,1.065992821597161,39450.0,0.098242599588129,68.78082191780823,0.0,0,1,100-200K,0-2 yrs,0
180000.0,381528.0,24381.0,315000.0,-12576,-1723,2.0,Cash loans,M,Commercial associate,Secondary / secondary special,Married,0.1354492475041805,1.2111961549328414,60000.0,0.0639033992173596,34.45479452054794,4.720547945205479,0,1,100-200K,2-5 yrs,0
112500.0,454500.0,21996.0,454500.0,-15895,-1398,1.0,Cash loans,F,Working,Secondary / secondary special,Separated,0.1955182620598928,0.999997799784819,56250.0,0.0483959331222593,43.54794520547945,3.83013698630137,0,1,100-200K,2-5 yrs,0
135000.0,225000.0,11250.0,450000.0,-13455,-546,5.0,Revolving loans,M,Working,Secondary / secondary special,Civil marriage,0.0833327160539551,1.118798342520974,22500.0,0.0499997777787654,36.863013698630134,1.4958904109589042,0,1,100-200K,0-2 yrs,0
99000.0,260640.0,27499.5,225000.0,-8524,-1025,2.0,Cash loans,F,Commercial associate,Secondary / secondary special,Civil marriage,0.2777699215159442,1.1583948515784377,33000.0,0.1055071918846229,23.353424657534248,2.808219178082192,0,1,50-100K,2-5 yrs,0
135000.0,202500.0,10125.0,202500.0,-15280,-2731,3.0,Revolving loans,F,Working,Secondary / secondary special,Married,0.0749994444485596,0.9999950617527816,33750.0,0.049999753087639,41.863013698630134,7.482191780821918,0,1,100-200K,5+ yrs,0
157500.0,1282500.0,48978.0,1282500.0,-12975,-1392,2.0,Cash loans,F,Working,Secondary / secondary special,Married,0.3109694541621958,0.9999992202735124,52500.0,0.0381894439068663,35.54794520547945,3.813698630136986,0,1,100-200K,2-5 yrs,0
270000.0,221031.0,17487.0,184500.0,-12003,-1038,2.0,Cash loans,F,Working,Secondary / secondary special,Civil marriage,0.0647664267910118,1.1979935068102612,90000.0,0.0791152412320388,32.88493150684931,2.8438356164383563,0,1,200-500K,2-5 yrs,0
202500.0,508495.5,20164.5,454500.0,-17074,-4622,2.0,Cash loans,F,Working,Secondary / secondary special,Married,0.0995772860380936,1.1187995185929185,67500.0,0.0396551402025382,46.778082191780825,12.663013698630136,0,1,200-500K,5+ yrs,0
99000.0,1078200.0,31653.0,900000.0,-19595,-9031,1.0,Cash loans,F,Working,Secondary / secondary special,Widow,0.3197240431914829,1.197998668890368,49500.0,0.0293572348755009,53.68493150684932,24.742465753424657,0,1,50-100K,5+ yrs,0
135000.0,545040.0,26640.0,450000.0,-9751,-264,2.0,Cash loans,F,Working,Secondary / secondary special,Married,0.1973318716157658,1.2111973084504255,45000.0,0.0488770569553483,26.715068493150685,0.7232876712328767,0,1,100-200K,0-2 yrs,0
90000.0,343800.0,16155.0,225000.0,-9222,-731,3.0,Cash loans,F,Working,Higher education,Married,0.1794980055777158,1.5279932089190715,22500.0,0.0469893921192783,25.265753424657536,2.002739726027398,0,1,50-100K,2-5 yrs,0
157500.0,450000.0,22500.0,450000.0,-12600,-3068,2.0,Revolving loans,F,Working,Higher education,Separated,0.1428562358334232,0.999997777782716,52500.0,0.0499998888891358,34.52054794520548,8.405479452054795,0,0,100-200K,5+ yrs,0
202500.0,130824.0,10462.5,103500.0,-11618,-1067,3.0,Cash loans,M,Working,Secondary / secondary special,Civil marriage,0.0516664115238937,1.2639877875576082,50625.0,0.0799732467036117,31.83013698630137,2.9232876712328766,0,1,200-500K,2-5 yrs,0
135000.0,779688.0,36261.0,630000.0,-21314,365243,1.0,Cash loans,F,Pensioner,Secondary / secondary special,Separated,0.2685980103851083,1.2375980355586738,67500.0,0.0465070047159829,58.394520547945206,0.0,0,1,100-200K,0-2 yrs,0
270000.0,545040.0,26509.5,450000.0,-19355,365243,1.0,Cash loans,F,Pensioner,Secondary / secondary special,Separated,0.0981829696927048,1.2111973084504255,135000.0,0.048637625426344,53.02739726027397,0.0,0,1,200-500K,0-2 yrs,0
108000.0,808650.0,26217.0,675000.0,-17578,-159,2.0,Cash loans,F,Working,Secondary / secondary special,Civil marriage,0.2427477523356265,1.1979982251878143,36000.0,0.0324206610762863,48.15890410958904,0.4356164383561643,0,1,100-200K,0-2 yrs,0
216000.0,161595.0,19305.0,139500.0,-9734,-1384,3.0,Cash loans,M,State servant,Higher education,Married,0.0893745862287674,1.158378792983563,54000.0,0.1194645907076907,26.66849315068493,3.791780821917808,0,1,200-500K,2-5 yrs,0
157500.0,521280.0,31630.5,450000.0,-16457,-1062,3.0,Cash loans,M,Commercial associate,Secondary / secondary special,Married,0.2008272963346264,1.1583974257834984,39375.0,0.0606784056967355,45.08767123287672,2.9095890410958902,0,1,100-200K,2-5 yrs,0
247500.0,490495.5,27387.0,454500.0,-11213,-2732,2.0,Cash loans,F,Working,Higher education,Married,0.1106540983672793,1.0791956453341136,82500.0,0.0558352608020648,30.72054794520548,7.484931506849315,0,1,200-500K,5+ yrs,0
202500.0,1546020.0,45333.0,1350000.0,-16746,-4483,2.0,Cash loans,F,Commercial associate,Secondary / secondary special,Civil marriage,0.2238655611577227,1.145199151704332,67500.0,0.0293223701359813,45.87945205479452,12.282191780821918,0,1,200-500K,5+ yrs,0
121500.0,521280.0,31630.5,450000.0,-8362,-603,2.0,Cash loans,F,Working,Secondary / secondary special,Married,0.2603311906897885,1.1583974257834984,40500.0,0.0606784056967355,22.90958904109589,1.652054794520548,0,1,100-200K,0-2 yrs,0
225000.0,225000.0,26703.0,225000.0,-10062,-1517,3.0,Cash loans,M,Working,Incomplete higher,Married,0.1186794725356776,0.9999955555753084,56250.0,0.1186794725356776,27.567123287671233,4.156164383561644,0,1,200-500K,2-5 yrs,0
180000.0,521280.0,19449.0,450000.0,-21377,365243,1.0,Cash loans,F,Pensioner,Secondary / secondary special,Separated,0.108049399725557,1.1583974257834984,90000.0,0.0373100112990882,58.56712328767123,0.0,0,1,100-200K,0-2 yrs,0
180000.0,543735.0,23166.0,486000.0,-13629,-866,2.0,Cash loans,F,State servant,Secondary / secondary special,Married,0.1286992850039722,1.1187939942510403,60000.0,0.0426052348934041,37.33972602739726,2.372602739726027,0,1,100-200K,2-5 yrs,0
270000.0,1258650.0,53325.0,1125000.0,-20777,365243,1.0,Cash loans,F,Pensioner,Secondary / secondary special,Separated,0.1974992685212277,1.1187990055119952,135000.0,0.0423667879340659,56.92328767123288,0.0,0,1,200-500K,0-2 yrs,0
180000.0,900000.0,26316.0,900000.0,-19141,-2820,1.0,Cash loans,F,State servant,Higher education,Separated,0.1461991877822901,0.9999988888901234,90000.0,0.0292399675111472,52.44109589041096,7.726027397260274,0,1,100-200K,5+ yrs,0
382500.0,1288350.0,37800.0,1125000.0,-11526,-2622,4.0,Cash loans,M,Commercial associate,Higher education,Married,0.0988232710502717,1.1451989820453492,76500.0,0.0293398305275503,31.578082191780823,7.183561643835616,0,1,200-500K,5+ yrs,0
90000.0,337500.0,14427.0,337500.0,-18245,-4687,2.0,Cash loans,F,Commercial associate,Secondary / secondary special,Married,0.1602982189086788,0.999997037045816,30000.0,0.0427465400102518,49.986301369863014,12.841095890410958,0,1,50-100K,5+ yrs,0
220500.0,314055.0,19107.0,238500.0,-12557,-95,1.0,Cash loans,M,Working,Secondary / secondary special,Separated,0.0866526682418673,1.3167869317109782,110250.0,0.0608394681203352,34.4027397260274,0.2602739726027397,0,1,200-500K,0-2 yrs,1
202500.0,1288350.0,37795.5,1125000.0,-16029,-615,3.0,Cash loans,F,Working,Higher education,Civil marriage,0.1866435227480358,1.1451989820453492,50625.0,0.0293363376905827,43.915068493150685,1.6849315068493151,0,1,200-500K,0-2 yrs,0
126000.0,98910.0,9072.0,90000.0,-14525,-2243,3.0,Cash loans,F,Working,Secondary / secondary special,Single / not married,0.0719994285759636,1.0989877890245665,31500.0,0.0917188179272275,39.7945205479452,6.145205479452055,0,1,100-200K,5+ yrs,1
360000.0,521280.0,26743.5,450000.0,-16030,-2540,4.0,Cash loans,M,Working,Secondary / secondary special,Married,0.0742872936464065,1.1583974257834984,72000.0,0.0513034236812774,43.917808219178085,6.958904109589041,0,1,200-500K,5+ yrs,0
157500.0,860634.0,25164.0,616500.0,-22242,365243,2.0,Cash loans,F,Pensioner,Higher education,Married,0.1597704141561006,1.3959977356078903,52500.0,0.0292388759462489,60.93698630136986,0.0,0,1,100-200K,0-2 yrs,0
157500.0,755190.0,36328.5,675000.0,-15927,-217,2.0,Cash loans,M,Working,Secondary / secondary special,Married,0.2306556783766452,1.118798342520974,52500.0,0.0481050489213986,43.635616438356166,0.5945205479452055,0,1,100-200K,0-2 yrs,0
90000.0,1350000.0,37255.5,1350000.0,-16384,-7345,2.0,Cash loans,F,State servant,Secondary / secondary special,Married,0.4139454006066599,0.999999259259808,30000.0,0.0275966462247065,44.88767123287671,20.123287671232877,0,1,50-100K,5+ yrs,0
198000.0,172021.5,18657.0,148500.0,-16286,-2030,2.0,Cash loans,F,Working,Secondary / secondary special,Married,0.0942267968343594,1.15838613881388,66000.0,0.1084567425772791,44.61917808219178,5.561643835616438,0,1,100-200K,5+ yrs,0
180000.0,450000.0,22018.5,450000.0,-10379,-1018,3.0,Cash loans,M,Working,Higher education,Married,0.1223243204204421,0.999997777782716,45000.0,0.0489298912669083,28.435616438356163,2.789041095890411,0,1,100-200K,2-5 yrs,0
180000.0,1049782.5,56061.0,945000.0,-19034,-596,2.0,Cash loans,M,Working,Secondary / secondary special,Married,0.3114482697318348,1.110879776846797,60000.0,0.0534024396458888,52.14794520547945,1.632876712328767,0,1,100-200K,0-2 yrs,0
175500.0,206280.0,7537.5,135000.0,-22749,-14522,2.0,Cash loans,F,Working,Secondary / secondary special,Civil marriage,0.0429484732280727,1.5279886815653216,58500.0,0.0365399624783668,62.32602739726027,39.78630136986301,0,1,100-200K,5+ yrs,0
360000.0,673875.0,26109.0,562500.0,-16363,-217,2.0,Cash loans,F,Commercial associate,Higher education,Married,0.0725247985422262,1.1979978702260086,120000.0,0.0387445167953748,44.83013698630137,0.5945205479452055,0,1,200-500K,0-2 yrs,0
135000.0,125640.0,7722.0,90000.0,-12520,-692,1.0,Cash loans,M,Working,Higher education,Single / not married,0.0571995762994348,1.3959844890612327,67500.0,0.0614608288695569,34.3013698630137,1.895890410958904,0,1,100-200K,0-2 yrs,0
292500.0,245268.0,19507.5,202500.0,-22927,-5462,2.0,Cash loans,F,Working,Secondary / secondary special,Married,0.0666920796851976,1.211194018794969,97500.0,0.0795351226612413,62.81369863013698,14.964383561643835,0,1,200-500K,5+ yrs,0
360000.0,1971072.0,68643.0,1800000.0,-20110,-3232,2.0,Cash loans,M,Working,Secondary / secondary special,Married,0.1906744703486934,1.0950393916447825,120000.0,0.0348251941962575,55.0958904109589,8.854794520547944,0,1,200-500K,5+ yrs,0
157500.0,450000.0,27324.0,450000.0,-9573,-257,2.0,Cash loans,M,Working,Incomplete higher,Civil marriage,0.1734846127961092,0.999997777782716,52500.0,0.0607198650669665,26.22739726027397,0.7041095890410959,0,1,100-200K,0-2 yrs,0
112500.0,857169.0,30496.5,715500.0,-8112,-845,3.0,Cash loans,M,State servant,Secondary / secondary special,Married,0.2710775904214185,1.1979983256487412,28125.0,0.0355781233594269,22.224657534246575,2.315068493150685,0,1,100-200K,2-5 yrs,0
247500.0,1097676.0,32224.5,958500.0,-18359,-10057,1.0,Cash loans,F,Working,Secondary / secondary special,Single / not married,0.1301994739415194,1.1452006831500436,123750.0,0.0293569966392663,50.298630136986304,27.553424657534247,0,1,200-500K,5+ yrs,0
157500.0,900000.0,38263.5,900000.0,-21082,365243,2.0,Cash loans,F,Pensioner,Secondary / secondary special,Married,0.2429413146583196,0.9999988888901234,52500.0,0.0425149527611636,57.75890410958904,0.0,0,1,100-200K,0-2 yrs,0
135000.0,679500.0,19867.5,679500.0,-10389,-3332,1.0,Cash loans,F,Commercial associate,Secondary / secondary special,Single / not married,0.1471655765512848,0.99999852833182,67500.0,0.0292383675667879,28.46301369863014,9.128767123287671,0,1,100-200K,5+ yrs,0
90000.0,180000.0,9000.0,180000.0,-8174,-142,1.0,Revolving loans,F,Working,Secondary / secondary special,Single / not married,0.0999988889012344,0.9999944444753084,45000.0,0.0499997222237654,22.39452054794521,0.3890410958904109,0,0,50-100K,0-2 yrs,0
90000.0,284400.0,10719.0,225000.0,-18764,-10601,1.0,Cash loans,F,Working,Higher education,Widow,0.1190986766813702,1.26399438224719,45000.0,0.0376897408940193,51.40821917808219,29.04383561643836,0,1,50-100K,5+ yrs,0
562500.0,1324440.0,47700.0,1170000.0,-20717,-3826,3.0,Cash loans,F,Commercial associate,Higher education,Married,0.0847998492447124,1.131999032479459,140625.0,0.0360151943348174,56.75890410958904,10.482191780821918,0,1,500K+,5+ yrs,0
202500.0,1057266.0,43762.5,945000.0,-19822,-1540,2.0,Cash loans,M,Working,Higher education,Married,0.2161100439010177,1.1187988160859088,67500.0,0.0413920986846274,54.30684931506849,4.219178082191781,0,1,200-500K,2-5 yrs,0
90000.0,197820.0,15664.5,180000.0,-16346,-1973,2.0,Cash loans,F,Working,Secondary / secondary special,Separated,0.1740480661325985,1.098993894478364,30000.0,0.0791852230046355,44.78356164383562,5.405479452054794,0,1,50-100K,5+ yrs,0
270000.0,288873.0,10503.0,238500.0,-17020,-3473,2.0,Cash loans,F,Commercial associate,Higher education,Married,0.0388998559264595,1.2112024687527516,90000.0,0.0363584123181733,46.63013698630137,9.515068493150684,0,1,200-500K,5+ yrs,0
270000.0,640080.0,23121.0,450000.0,-17499,-1946,2.0,Cash loans,F,Working,Higher education,Married,0.0856330161740141,1.4223968391181352,90000.0,0.036121990810538,47.942465753424656,5.331506849315068,0,1,200-500K,5+ yrs,0
337500.0,239850.0,25960.5,225000.0,-24299,365243,2.0,Cash loans,M,Pensioner,Secondary / secondary special,Civil marriage,0.0769197720895641,1.065995262243279,112500.0,0.1082359464834418,66.57260273972602,0.0,0,1,200-500K,0-2 yrs,0
126000.0,608076.0,23053.5,427500.0,-20222,365243,2.0,Cash loans,M,Pensioner,Secondary / secondary special,Married,0.1829628336283045,1.422396672756321,42000.0,0.0379121394165541,55.4027397260274,0.0,0,1,100-200K,0-2 yrs,0
135000.0,1013508.0,29763.0,846000.0,-17208,-165,3.0,Cash loans,M,Commercial associate,Secondary / secondary special,Married,0.2204650335923437,1.1979985839260237,33750.0,0.0293662907778816,47.14520547945205,0.4520547945205479,0,1,100-200K,0-2 yrs,0
157500.0,239850.0,25317.0,225000.0,-18735,-2746,1.0,Cash loans,F,Working,Higher education,Single / not married,0.1607418365597678,1.065995262243279,78750.0,0.1055530308399798,51.32876712328767,7.523287671232877,0,1,100-200K,5+ yrs,0
67500.0,135000.0,6750.0,135000.0,-17402,-706,2.0,Revolving loans,F,Working,Secondary / secondary special,Separated,0.099998518540466,0.999992592647462,22500.0,0.049999629632373,47.67671232876712,1.9342465753424656,0,0,50-100K,0-2 yrs,0
112500.0,62820.0,4378.5,45000.0,-9123,-131,1.0,Cash loans,M,Working,Secondary / secondary special,Single / not married,0.0389196540475195,1.3959689784671452,56250.0,0.0696980309132296,24.994520547945207,0.3589041095890411,0,1,100-200K,0-2 yrs,0
90000.0,508495.5,21672.0,454500.0,-13639,-188,3.0,Cash loans,F,State servant,Secondary / secondary special,Married,0.2407973244741725,1.1187995185929185,22500.0,0.0426197623779121,37.367123287671234,0.5150684931506849,0,1,50-100K,0-2 yrs,0
157500.0,1024290.0,36418.5,855000.0,-13059,-2631,4.0,Cash loans,F,Working,Higher education,Married,0.2312271033199789,1.197998598832048,31500.0,0.0355548374436561,35.778082191780825,7.208219178082191,0,1,100-200K,5+ yrs,0
157500.0,781920.0,31522.5,675000.0,-9490,-996,2.0,Cash loans,F,State servant,Higher education,Married,0.200141586402626,1.1583982838543945,52500.0,0.0403141749614091,26.0,2.728767123287671,0,1,100-200K,2-5 yrs,0
247500.0,1035832.5,30415.5,904500.0,-13343,-3324,2.0,Cash loans,F,Working,Secondary / secondary special,Married,0.1228904125639896,1.145197738863749,82500.0,0.0293633098369573,36.55616438356165,9.106849315068493,0,1,200-500K,5+ yrs,0
202500.0,180000.0,9000.0,180000.0,-10670,-818,3.0,Revolving loans,F,Working,Secondary / secondary special,Civil marriage,0.0444442249667902,0.9999944444753084,50625.0,0.0499997222237654,29.232876712328768,2.241095890410959,0,0,200-500K,2-5 yrs,0
225000.0,1054935.0,44824.5,904500.0,-15254,-5900,2.0,Cash loans,M,Commercial associate,Higher education,Married,0.1992191145817129,1.1663171184995926,75000.0,0.0424902553330249,41.79178082191781,16.164383561643834,0,1,200-500K,5+ yrs,0
135000.0,675000.0,22437.0,675000.0,-17225,365243,1.0,Cash loans,F,Pensioner,Secondary / secondary special,Single / not married,0.1661987688980081,0.9999985185207132,67500.0,0.0332399507556285,47.19178082191781,0.0,0,1,100-200K,0-2 yrs,0
166500.0,573628.5,22878.0,463500.0,-22147,365243,1.0,Cash loans,F,Pensioner,Secondary / secondary special,Widow,0.1374045801526717,1.237599271630482,83250.0,0.0398828860789063,60.67671232876712,0.0,0,1,100-200K,0-2 yrs,0
202500.0,904500.0,29178.0,904500.0,-11170,-1751,2.0,Cash loans,F,Working,Higher education,Single / not married,0.1440881773423341,0.9999988944180273,67500.0,0.0322586708030173,30.6027397260274,4.7972602739726025,0,1,200-500K,2-5 yrs,0
112500.0,270000.0,13500.0,270000.0,-10998,-3837,1.0,Revolving loans,F,Working,Secondary / secondary special,Separated,0.1199989333428147,0.9999962963100136,56250.0,0.0499998148155006,30.13150684931507,10.512328767123288,0,0,100-200K,5+ yrs,0
126000.0,239850.0,25447.5,225000.0,-16369,-3309,2.0,Cash loans,F,State servant,Secondary / secondary special,Married,0.2019626828358505,1.065995262243279,42000.0,0.1060971186278147,44.846575342465755,9.065753424657537,0,1,100-200K,5+ yrs,0
99000.0,360000.0,15858.0,360000.0,-14359,-4422,2.0,Cash loans,F,Working,Higher education,Married,0.1601802001999979,0.9999972222299384,33000.0,0.0440498776392287,39.33972602739726,12.115068493150686,0,1,50-100K,5+ yrs,0
283500.0,932643.0,27400.5,778500.0,-19374,-3001,2.0,Cash loans,F,Working,Secondary / secondary special,Married,0.0966504527320891,1.1979984611452008,94500.0,0.0293793773401212,53.07945205479452,8.221917808219178,0,1,200-500K,5+ yrs,0
180000.0,521280.0,31630.5,450000.0,-16290,-1847,2.0,Cash loans,M,Commercial associate,Secondary / secondary special,Married,0.1757240237554236,1.1583974257834984,60000.0,0.0606784056967355,44.63013698630137,5.06027397260274,0,1,100-200K,5+ yrs,1
112500.0,315000.0,15750.0,315000.0,-20703,365243,1.0,Revolving loans,F,Pensioner,Incomplete higher,Single / not married,0.1399987555666171,0.9999968254069036,56250.0,0.0499998412703451,56.72054794520548,0.0,0,0,100-200K,0-2 yrs,0
144000.0,957901.5,40585.5,774000.0,-21649,-3000,2.0,Cash loans,M,Working,Secondary / secondary special,Married,0.281841792765328,1.2375972382464622,48000.0,0.0423691346457494,59.31232876712329,8.219178082191782,0,1,100-200K,5+ yrs,0
135000.0,1113840.0,47322.0,900000.0,-19413,365243,2.0,Cash loans,F,Pensioner,Secondary / secondary special,Married,0.350530736809357,1.2375986248904167,45000.0,0.0424854175775537,53.18630136986302,0.0,0,1,100-200K,0-2 yrs,0
162000.0,622188.0,20691.0,472500.0,-19202,-11112,1.0,Cash loans,F,Working,Secondary / secondary special,Separated,0.1277214338183097,1.3167972131275911,81000.0,0.0332551684456009,52.608219178082194,30.443835616438356,0,1,100-200K,5+ yrs,0
135000.0,269550.0,19300.5,225000.0,-18025,-1764,1.0,Cash loans,F,State servant,Secondary / secondary special,Single / not married,0.1429656076621654,1.1979946755792197,67500.0,0.0716024054817084,49.38356164383562,4.832876712328767,0,1,100-200K,2-5 yrs,0
225000.0,1056447.0,34209.0,922500.0,-17352,-2338,2.0,Cash loans,F,Working,Secondary / secondary special,Married,0.1520393242696699,1.1451987585921315,75000.0,0.0323811489065245,47.53972602739726,6.405479452054794,0,1,200-500K,5+ yrs,0
405000.0,260640.0,26838.0,225000.0,-20969,-814,2.0,Cash loans,F,Commercial associate,Secondary / secondary special,Married,0.0662665030456715,1.1583948515784377,135000.0,0.1029692181966766,57.44931506849315,2.23013698630137,0,1,200-500K,2-5 yrs,0
135000.0,450000.0,53536.5,450000.0,-11626,-1078,2.0,Cash loans,F,Working,Secondary / secondary special,Married,0.3965637291575618,0.999997777782716,45000.0,0.1189697356228097,31.852054794520548,2.9534246575342467,0,1,100-200K,2-5 yrs,0
270000.0,180000.0,9000.0,180000.0,-17106,-2612,2.0,Revolving loans,F,Working,Secondary / secondary special,Married,0.0333332098770004,0.9999944444753084,90000.0,0.0499997222237654,46.865753424657534,7.156164383561644,0,0,200-500K,5+ yrs,0
90000.0,270000.0,13500.0,270000.0,-20035,-7795,1.0,Revolving loans,F,Commercial associate,Higher education,Single / not married,0.1499983333518516,0.9999962963100136,45000.0,0.0499998148155006,54.89041095890411,21.356164383561644,0,0,50-100K,5+ yrs,0
90000.0,380533.5,20772.0,328500.0,-14927,-588,3.0,Cash loans,F,Working,Secondary / secondary special,Married,0.230797435584049,1.158393733961236,22500.0,0.0545863778448471,40.895890410958906,1.610958904109589,0,1,50-100K,0-2 yrs,0
103500.0,450000.0,24543.0,450000.0,-14951,-2370,4.0,Cash loans,M,Working,Secondary / secondary special,Married,0.2371281436894329,0.999997777782716,20700.0,0.0545398788002693,40.961643835616435,6.493150684931507,0,1,100-200K,5+ yrs,0
